n,noise_type,coef_type,rep,seed,miae,rmise,beta_mae,beta_rmse,err_mae,err_rmse
2000,heavy_tailed,quadratic,5,128,0.08578045065867894,0.10755229060379809,0.01616569672077095,0.016251297054218586,0.48494536433494617,0.6224065304059287
2000,heavy_tailed,quadratic,6,129,0.09731452648232088,0.12227998203862038,0.039220447842054695,0.040847888560820854,0.44874079685473645,0.579800315879996
2000,heavy_tailed,quadratic,7,130,0.08745340449393871,0.10968280097698854,0.04613309045712849,0.04826183671147312,0.43308374195225985,0.5443757252671159
2000,heavy_tailed,quadratic,8,131,0.0938139007184695,0.11793375230534058,0.041262539097048245,0.04152790307109389,0.44568289000790073,0.5715392170780919
2000,heavy_tailed,quadratic,9,132,0.09139256141431756,0.11497009633525819,0.12246263635364013,0.1381697776240563,0.4750215987397938,0.6060449518210872
2000,heavy_tailed,quadratic,10,133,0.09289214284312326,0.11840204161390763,0.10421389829875921,0.12176792744970734,0.47297149105865877,0.6237562149396614
2000,heavy_tailed,quadratic,11,134,0.0957946818258475,0.1195277662631327,0.02148534977154104,0.030353014161833565,0.44333866114724246,0.5665648501480784
2000,heavy_tailed,quadratic,12,135,0.08538211126492087,0.10689095856291594,0.05871327857979114,0.08182199748986924,0.49497643874937497,0.6212870878106802
2000,heavy_tailed,quadratic,13,136,0.0965300039208106,0.12140682894371711,0.059361133986021664,0.05959907809303706,0.47308904494835474,0.5934697970273968
2000,heavy_tailed,quadratic,14,137,0.08660392432337877,0.10893808699531565,0.11633104182949533,0.12844624007061559,0.455693439051567,0.5743439909375105
2000,heavy_tailed,quadratic,15,138,0.08800081802662287,0.11059966971120738,0.013168164410143457,0.013504852902875316,0.479016419080725,0.6016472558139612
2000,heavy_tailed,quadratic,16,139,0.08867068678041129,0.11039808648481803,0.016012536853990456,0.020800146347917513,0.5052020489609294,0.6451063661503541
2000,heavy_tailed,quadratic,17,140,0.09395954102253347,0.11757707044520523,0.027796744253519745,0.02952729158182111,0.46812269031365633,0.5916614974712776
2000,heavy_tailed,quadratic,18,141,0.08910285248473361,0.11239674818015923,0.041576989178384816,0.0416574348836099,0.45054766351205144,0.5696993612451613
2000,heavy_tailed,quadratic,19,142,0.08235392002860555,0.10283018629092931,0.02409779542268775,0.03208921074520332,0.5008826119015607,0.635679240684769
2000,heavy_tailed,quadratic,20,143,0.09460107096823471,0.11908651935032509,0.05576778157852491,0.05577047390245058,0.49476978478459144,0.6256419091305871
2000,heavy_tailed,quadratic,21,144,0.09622899274148196,0.12107931795409567,0.07847211119014852,0.08203402888912363,0.406448936847448,0.525259537117855
2000,heavy_tailed,quadratic,22,145,0.09042609373328703,0.11407031647978973,0.05630358602663271,0.056398865017475014,0.42951197967041105,0.5454669169271169
2000,heavy_tailed,quadratic,23,146,0.09597907015808857,0.12192999552548807,0.02297984572132017,0.022992261222713452,0.4204974441910086,0.5250747002125687
2000,heavy_tailed,quadratic,24,147,0.10321359063824308,0.1308527542881687,0.023782790888044136,0.02525543143248933,0.40714194785872093,0.5145280417242127
2000,heavy_tailed,quadratic,25,148,0.0906907333010439,0.1137844921971641,0.029242134685896426,0.03946511782085422,0.4677191756931945,0.6067303877112815
2000,heavy_tailed,quadratic,26,149,0.08922337600795001,0.1116602778096519,0.12240961304260839,0.1255674373767705,0.4581251500717828,0.5696809467602023
2000,heavy_tailed,quadratic,27,150,0.09319673088860188,0.1162189736636911,0.04242440854443852,0.04618670251150933,0.45718408673373345,0.587587783595622
2000,heavy_tailed,quadratic,28,151,0.09509228747583412,0.11955755071049774,0.06333287212666194,0.06376860739623619,0.39761300071626593,0.5007201482048896
2000,heavy_tailed,quadratic,29,152,0.08269203465652569,0.10386048006937278,0.05970402931691482,0.0658743371686526,0.4556969799301389,0.5733794930865962
2000,heavy_tailed,bump,0,123,0.09711392306269019,0.1255939410750223,0.07443387688303982,0.08959007648566393,0.5358112965234092,0.6662377402178451
2000,heavy_tailed,bump,1,124,0.10475335031381978,0.13241639408329162,0.050892204600804125,0.050895869641499544,0.5096876084894513,0.652576593451831
2000,heavy_tailed,bump,2,125,0.10768121550452749,0.13645138390613434,0.10271890664293304,0.10977197662796283,0.5035385815746779,0.6417160451403452
2000,heavy_tailed,bump,3,126,0.10587656826817199,0.13522497309672352,0.05155933093756759,0.05558887127120903,0.49214148490603365,0.6308125899414735
2000,heavy_tailed,bump,4,127,0.1089384539033887,0.13919164511850324,0.03379932640367456,0.03657389290660519,0.50241199420944,0.6367326828629097
2000,heavy_tailed,bump,5,128,0.09894222962650556,0.12645771281917473,0.039542095767714946,0.052243080455909974,0.5408349959000759,0.702661404579609
2000,heavy_tailed,bump,6,129,0.11046318903550059,0.140513069219816,0.013079721341630157,0.0170876765354533,0.5230576106632675,0.684533878415273
2000,heavy_tailed,bump,7,130,0.09793585473602848,0.12499611305257917,0.01273614275672974,0.014773967332788704,0.4492471248712514,0.5623162254077186
2000,heavy_tailed,bump,8,131,0.10598128884471177,0.13407471721933026,0.04559294675025971,0.04859305924905817,0.48521064403817493,0.6232086555848033
2000,heavy_tailed,bump,9,132,0.10976931287366984,0.13872539277057497,0.16096850535578655,0.16533780094968192,0.4875242877388548,0.6371004721011038
2000,heavy_tailed,bump,10,133,0.10493468452062658,0.1325870206625312,0.14859458875720166,0.1602391314789276,0.528143736944485,0.7063516337553016
2000,heavy_tailed,bump,11,134,0.10331919328568512,0.1295829437841211,0.04456463235589225,0.044959971537385277,0.506868985937016,0.6492788828177358
2000,heavy_tailed,bump,12,135,0.0991463972751239,0.12689645485613976,0.08386200321633142,0.08752517579915514,0.5084481335549892,0.627720706634302
2000,heavy_tailed,bump,13,136,0.1064733710933044,0.13592126645873723,0.057185890325187116,0.06506512699343743,0.4955448256895147,0.6329905509464331
