image_type,S,R,model,fold,n_pairs,rmse_std,mae_std,rmse_iop,mae_iop
roi,2x2x1,1,xz_iid_vctr,3,55,1.1463026886391237,0.8732776351392971,4.7903205199550225,3.6493674983803013
roi,2x2x1,1,xz_iid_vctr,4,54,1.037472938443281,0.7821076245920884,4.33552843867356,3.2683742610292694
roi,2x2x1,1,xz_iid_vctr,5,54,0.912708132461376,0.7165266440034335,3.8141448493417878,2.9943158293897483
roi,2x2x1,1,xz_linear,1,55,1.1578562670007708,0.9289165930152039,4.838602133575254,3.881878897213613
roi,2x2x1,1,xz_linear,2,55,1.151680590825639,0.9387042861999749,4.812794405302844,3.9227809974797254
roi,2x2x1,1,xz_linear,3,55,1.1318381380785125,0.8654510274463942,4.729874152648076,3.616660640231463
roi,2x2x1,1,xz_linear,4,54,1.0613437620881725,0.8101706254290858,4.435282977738721,3.385647621803273
roi,2x2x1,1,xz_linear,5,54,0.9140367525853208,0.7254810372134318,3.8196970619519792,3.0317356260653754
roi,2x2x1,1,xz_paired_vctr,1,55,1.2176441869967343,0.9725716181900876,5.088451761287554,4.064310261081968
roi,2x2x1,1,xz_paired_vctr,2,55,1.1276291565589374,0.9217060029687137,4.712285106804286,3.851746334668817
roi,2x2x1,1,xz_paired_vctr,3,55,1.15508707525304,0.8766231767134799,4.827029870695375,3.6633482877581884
roi,2x2x1,1,xz_paired_vctr,4,54,1.0636639843165105,0.7962085357265164,4.444979027710007,3.327301004049915
roi,2x2x1,1,xz_paired_vctr,5,54,0.899835935042038,0.6932814322551563,3.760352816883092,2.8971756796439
roi,2x2x1,1,z_only_linear,1,55,1.1670623318044875,0.9490459195688782,4.877073648624769,3.965997975881584
roi,2x2x1,1,z_only_linear,2,55,1.153425938737947,0.9245957343168417,4.820088094833239,3.8638223242929266
roi,2x2x1,1,z_only_linear,3,55,1.1446459115993977,0.8806499286661332,4.783396962042225,3.680175808707708
roi,2x2x1,1,z_only_linear,4,54,1.0921648545256786,0.8442417845947402,4.564082214636696,3.5280286652287653
roi,2x2x1,1,z_only_linear,5,54,0.888735740505486,0.7033728316370275,3.713965863253013,2.9393469473318703
