source_part,source_manifest,n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,2,128,1,,44136.59585706808,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.050266353832342986,0.0614448463847091,0.0060399333319467174,0.008407688658357107,0.04947927735936155,0.06163187728888518,0.007080295187463559,0.008524273576712078,0.34888816919406246,0.3852181849346807,0.37044380598115445,0.5582194314364667
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,1,127,1,,39457.16688280797,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.018276667162084172,0.023877682668848692,0.015906081479510198,0.01752494244574199,0.018299925895913387,0.023915781282494792,0.015720740075818807,0.017580254270201746,0.0740483344219311,0.08509667101974473,0.006958929317205727,0.10511590009591076
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,2,128,1,,38220.950614979956,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.01907671163566052,0.02492510990204412,0.006773341246110565,0.007425521462009438,0.01910165683836466,0.024973583072353304,0.006702861811417063,0.007445543506713118,0.07867935074399934,0.08735692767297966,0.0017853664163235239,0.1112937187165578
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,0,126,1,,40487.28413755901,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.019122181079658233,0.02462662968466732,0.0031546260166316342,0.0037958432068671537,0.019158091918678153,0.02467582596599906,0.0031719200811357318,0.0038976579696949052,0.10177605710774901,0.10853096323451628,0.0036863817473455187,0.14400923457650547
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,1,127,1,,39858.24587938795,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.01849001027541329,0.02418639638674871,0.014799107857447674,0.01697232733098706,0.01777343976979148,0.0232333944465593,0.01432518614949678,0.01686687013813023,0.07634384885961232,0.08415493785755356,0.01333591260538719,0.11890247049016424
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,1,127,1,,39049.743327578064,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.018476108186181995,0.024143699090342512,0.016701845496828224,0.018841326269511367,0.01545842946699225,0.020180586194277064,0.015956799497662766,0.018519628237975275,0.0721583858922536,0.07979420456032911,0.040292865368730224,0.15307621789207407
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,2,128,1,,40376.07449199306,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.01892926107791902,0.024647609355938904,0.0071758891372340206,0.008675243466307811,0.01832671009061113,0.02377820952001438,0.0072549505293384164,0.008778558375864432,0.08677972111661722,0.0936070788335273,0.05170033179005071,0.16059854724002812
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,0,126,1,,26251.47331833397,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.018944417398097494,0.024932933011327315,0.007102364890057805,0.009622081767807489,0.010664044551576999,0.013964053765560765,0.006177734073795821,0.008274441706427629,0.11807829348987088,0.12439983947839284,0.08459725430719267,0.3054817775713365
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,2,128,1,,28879.34069236298,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.01886438239087656,0.024647937996857702,0.007705858942770205,0.009295950744528539,0.01609292487638426,0.02084280123525102,0.007971306290142782,0.009519580237417289,0.09469325821259002,0.09950627944693927,0.07254096669349264,0.21895236777573107
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,1,127,1,,15270.938875350985,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.018427391053616935,0.02402277266988969,0.018557938187652542,0.020590506884133022,0.010272801982288778,0.013398227267015245,0.017597687312645965,0.01990797649948662,0.0669699270748008,0.07473480567115569,0.0703943788071355,0.20173810271787507
