rho,rep,seed,miae,rmise,beta_mae,beta_rmse,se_beta_nonzero,ppv_beta_nonzero,spe_beta_nonzero,npv_beta_nonzero,se_const_zero,ppv_const_zero,spe_const_zero,npv_const_zero,se_const_nonzero,ppv_const_nonzero,spe_const_nonzero,npv_const_nonzero,se_vary,ppv_vary,spe_vary,npv_vary
0.1,26,149,0.011783901993766265,0.024067096030542502,0.010152357100272125,0.01493261572451156,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,27,150,0.015181302748433413,0.029354027167811433,0.008930066218463501,0.017032538664353118,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8,1.0,1.0,0.9683098591549296
0.1,28,151,0.013808329818392025,0.027959165752541346,0.008858680887013054,0.011504990854106474,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,29,152,0.012656625261372614,0.026501832937300143,0.004851713438382669,0.007863154166193698,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8,1.0,1.0,0.9683098591549296
0.5,0,123,0.022490522096176864,0.040363322975684,0.004611427768422892,0.007658687881436442,1.0,1.0,1.0,1.0,1.0,0.9282700421940928,0.83,1.0,0.9090909090909091,1.0,1.0,0.9814814814814815,0.7333333333333333,1.0,1.0,0.9581881533101045
0.5,1,124,0.01508343323188754,0.029677499447277732,0.013636243963021774,0.01594114087840559,1.0,1.0,1.0,1.0,1.0,0.944206008583691,0.87,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.7777777777777778,1.0,1.0,0.9649122807017544
0.5,2,125,0.014742974701706858,0.028850905184998134,0.002464627431186329,0.0038976203630778448,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8444444444444444,1.0,1.0,0.975177304964539
0.5,3,126,0.016333496577699707,0.031052120639489998,0.0028897409426499295,0.005920431575563009,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8,1.0,1.0,0.9683098591549296
0.5,4,127,0.017272196762501083,0.03346341102073191,0.004657469107971964,0.007387288233230192,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8222222222222222,1.0,1.0,0.9717314487632509
0.5,5,128,0.02004002457613676,0.03784466384035527,0.0035497911435599036,0.005906126841120583,1.0,1.0,1.0,1.0,1.0,0.9401709401709402,0.86,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.7777777777777778,1.0,1.0,0.9649122807017544
0.5,6,129,0.013861897574837134,0.026758719146129276,0.007967467966851546,0.012720171199419017,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8666666666666667,1.0,1.0,0.9786476868327402
0.5,7,130,0.015463079128838871,0.03070141791485632,0.0037471114466048018,0.007166176056361546,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8444444444444444,1.0,1.0,0.975177304964539
0.5,8,131,0.020498754706354008,0.03791050564171093,0.006889919463476654,0.011066591878095083,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.8222222222222222,1.0,1.0,0.9717314487632509
0.5,9,132,0.015768249433819725,0.032726013055092526,0.0055143823812803605,0.00875468391825399,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8222222222222222,1.0,1.0,0.9717314487632509
0.5,10,133,0.016943065779318103,0.03317289028492183,0.011607428661558042,0.013676299394048226,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8,1.0,1.0,0.9683098591549296
0.5,11,134,0.01672453375636631,0.033502708390677205,0.002477764295579923,0.004014646336576917,1.0,1.0,1.0,1.0,1.0,0.944206008583691,0.87,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.7777777777777778,1.0,1.0,0.9649122807017544
0.5,12,135,0.015565046151210333,0.03144042650229467,0.007252818752279226,0.014600772352261895,1.0,1.0,1.0,1.0,0.9954545454545455,0.948051948051948,0.88,0.9887640449438202,0.9636363636363636,1.0,1.0,0.9925093632958801,0.7777777777777778,0.9722222222222222,0.9963636363636363,0.9647887323943662
0.5,13,136,0.016441072802132865,0.031777039432431105,0.006260509811678543,0.011818848690285613,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8666666666666667,1.0,1.0,0.9786476868327402
0.5,14,137,0.014785883499913471,0.02989585801386362,0.006138271134148526,0.008488896951442948,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8444444444444444,1.0,1.0,0.975177304964539
0.5,15,138,0.01944623104421988,0.036063816492921195,0.008067982638291593,0.013258053545691876,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9818181818181818,1.0,1.0,0.9962406015037594,0.8222222222222222,1.0,1.0,0.9717314487632509
0.5,16,139,0.017050492068779767,0.03292567503270266,0.002516712101749474,0.004025978953154727,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8666666666666667,1.0,1.0,0.9786476868327402
0.5,17,140,0.020009135066845787,0.038497417362405764,0.008455929596738037,0.01521383074069046,1.0,1.0,1.0,1.0,1.0,0.944206008583691,0.87,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.7777777777777778,1.0,1.0,0.9649122807017544
0.5,18,141,0.01705221344302628,0.03349317163513413,0.00969555046042016,0.018202745499369115,1.0,1.0,1.0,1.0,1.0,0.944206008583691,0.87,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.7555555555555555,1.0,1.0,0.9615384615384616
0.5,19,142,0.0156871409077553,0.03236708473025228,0.005760104326846813,0.009136908277468726,1.0,1.0,1.0,1.0,1.0,0.944206008583691,0.87,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.8,1.0,1.0,0.9683098591549296
