n_subject,coef_type,rho_true,bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_abs_error_mean,sigma2_abs_error_std,rho_abs_error_mean,rho_abs_error_std,Sigma_fro_error_mean,Sigma_fro_error_std,best_bandwidth_mean,best_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std
1000,sin,0.6,fixed,2,2,0,0.16849230203671706,0.0030549914076269807,0.29083215259168926,0.010485113153066022,0.085165400399838,0.023470248638550184,0.09051623633619729,0.018332103520844356,0.1682541715831043,0.003057389076908529,0.29090175884895364,0.010630473206882873,0.08653278232114758,0.022201532418717806,0.09209170034594305,0.016846144083070773,0.06486849627984193,0.02027017038288037,0.5115184167851196,0.028656169406036186,0.7387899441892234,0.03149209125726521,0.25,0.0,17754.806718621403,2107.1844509616494
1000,sin,0.9,fixed,2,2,0,0.16874813690303975,0.00449513120165021,0.2902438516342534,0.01764912818318104,0.08978529557214954,0.022667865932670783,0.09689076713718905,0.015577651686840409,0.16817862125569316,0.004529093709672347,0.29005761427087584,0.017859691871526334,0.0915311498273379,0.02086655727996911,0.09890902824761291,0.013512216748562858,0.06773424945429002,0.010613400842542864,0.7681430301340397,0.03272972858167966,1.1037609984284953,0.03970870630802803,0.25,0.0,11791.080613858066,3958.3482809020206
1000,sqrt,0.0,fixed,2,2,0,0.10143750001375475,0.00017207491949838838,0.2026856057919918,7.394036273142279e-05,0.03873342338518093,0.02878774248131999,0.04030804343028759,0.029256972674455158,0.10218255432679135,0.0005683350902536202,0.2080081996787309,0.004215952505906478,0.03830899009114308,0.029135330869516807,0.039872713337191695,0.029659266834705437,0.7022988892270087,0.029607763598953674,0.12616275449327025,0.07615000713960744,0.9955865242689758,0.03965946117599539,0.25,0.0,16669.970828276128,409.0229361206293
1000,sqrt,0.3,fixed,2,2,0,0.09135772970222336,0.002007332897445986,0.17530732203301652,0.010627772004543665,0.031588198863236716,0.016935391446920356,0.03447591384149901,0.01944292990981285,0.09104102114276057,0.002162116291916427,0.17755826237764263,0.012013740646359627,0.03149299634346414,0.016927652460672182,0.03417921635651713,0.019259386723830322,0.7171367302209406,0.0018168249927343338,0.11684999421799219,0.010262667640856982,1.0732227567540138,0.0012391868357466418,0.25,0.0,17933.397010306828,353.30475275125355
1000,sqrt,0.6,fixed,2,2,0,0.09072584585219828,0.00012791949636745126,0.170623525249084,0.001021771258145815,0.03592620146152192,0.017129903655591083,0.03860785338750312,0.01741536064900656,0.08884616117245786,0.00028754777315263824,0.17189966091250458,0.0021777342605923816,0.03528710993011419,0.017020270413811156,0.03757633063124159,0.017037051020030548,0.7183502913474155,0.0006464730319130085,0.28153830672790736,0.01619738596786649,1.2461463395337675,0.004650194927076745,0.25,0.0,16243.392820730805,65.01917658559978
1000,sqrt,0.9,fixed,2,2,0,0.09089077528192493,0.0019567654737974102,0.1667745907608733,0.009506987051128235,0.0405460966139799,0.016327520938266726,0.04397036661364356,0.013664515910065896,0.08619401241200113,0.001841810397910329,0.16647278527872988,0.00880475537803313,0.03862071944535539,0.01576374403985925,0.04160988833703954,0.012987016229150043,0.7182277335106771,0.004630606194394593,0.44224814188055783,0.014330901625170867,1.4901130853611977,0.010835600280892477,0.25,0.0,12630.19360089302,4053.4339454788715
2000,bump,0.3,fixed,2,2,0,0.054059339639381934,0.0006790735549161639,0.0726584240983088,0.0007538879487842126,0.018740468071053562,0.0013102358192741415,0.019113010990978826,0.0013349395418026915,0.05379105627811705,0.000714027550566744,0.07233121946600812,0.000791958719185186,0.01830936669334693,0.0009909507808574247,0.018601008424245308,0.0008624078057405549,0.0825762411052271,0.02870462741918911,0.18037168154626748,0.04041207108146298,0.26966271805837616,0.06890507903704501,0.25,0.0,41664.58956404496,7644.290429339744
2000,bump,0.6,fixed,1,1,0,0.0533122849529281,0.0,0.07187151019682138,0.0,0.02179190450515267,0.0,0.02236638011449781,0.0,0.05191874649706093,0.0,0.07024874719682028,0.0,0.02024922562664755,0.0,0.020390836357306267,0.0,0.053673731552586146,0.0,0.3204572267018104,0.0,0.4385942994765783,0.0,0.25,0.0,21849.77934408374,0.0
2000,sin,0.0,fixed,1,1,0,0.08138260195554298,0.0,0.102412013689242,0.0,0.032630252154159045,0.0,0.034197783944848646,0.0,0.08137023605761134,0.0,0.10243805626025049,0.0,0.03343663777190331,0.0,0.03486371321921036,0.0,0.919116946064594,0.0,0.043328228383661696,0.0,1.3051361654827518,0.0,0.25,0.0,15009.294648468494,0.0
2000,sqrt,0.0,fixed,1,1,0,0.0343061981365797,0.0,0.05015224275304431,0.0,0.011167072349845375,0.0,0.014035311811703257,0.0,0.03430418333372462,0.0,0.05014925262249177,0.0,0.01118572844860588,0.0,0.014041846472008613,0.0,0.37858954335297135,0.0,0.004697110839038456,0.0,0.5354223789251122,0.0,0.25,0.0,40686.1478632018,0.0
