n_subject,coef_type,rho_true,bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_abs_error_mean,sigma2_abs_error_std,rho_abs_error_mean,rho_abs_error_std,Sigma_fro_error_mean,Sigma_fro_error_std,best_bandwidth_mean,best_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std
2000,quadratic,0.6,fixed,30,30,0,0.0309596089691606,0.0019751235465298956,0.04034109784000319,0.002815019581550469,0.020317498162399295,0.009034171791871517,0.02295504872453021,0.010116516876936401,0.025175134159836982,0.0019331984500869843,0.032822503623306166,0.0026170617623228203,0.020113130159706748,0.008728947747097546,0.022741515143050135,0.009858253647175973,0.03253593315414999,0.022688574810650942,0.020667695973200954,0.01426329275913228,0.07227090392438738,0.046317930076657514,0.12999999999999998,2.7755575615628914e-17,117.68999306660844,1.9353258941117284
2000,quadratic,0.9,fixed,30,30,0,0.030971739257003934,0.0020009085836546923,0.040370983524322585,0.0027350183025829354,0.0220408429784249,0.009843337262009276,0.02497671118980702,0.011005392373635264,0.014824389746271234,0.001214256408992286,0.019149203161967995,0.0015081360835750293,0.02165049232249637,0.009329075007440348,0.024585468764322754,0.010583250304928443,0.03574456132287418,0.025985699030762408,0.02422599104786678,0.005429190705340818,0.09186789486270186,0.05330307811551897,0.12999999999999998,2.7755575615628914e-17,116.93863589581646,1.7358918427935008
2000,sin,0.0,fixed,30,30,0,0.038424307790154016,0.002784655349399259,0.04866948083282851,0.0033358541957040043,0.014845655429270322,0.006347141375415714,0.016440813378035726,0.0067615542776238435,0.038439719641872615,0.0027805874819476634,0.048683513291145925,0.0033186708628328274,0.01485789324944029,0.006358981787457142,0.01645417977954587,0.006774310943856715,0.019768883158291388,0.014929498817066945,0.023670026214917574,0.01653658604736443,0.04848070050619577,0.022093466683606754,0.12999999999999998,2.7755575615628914e-17,121.14346987213551,1.0701360848190922
2000,sin,0.3,fixed,30,30,0,0.03890245146966948,0.001956790046999226,0.048964873378704074,0.002721356878761587,0.018183869911110873,0.007831715645878598,0.020391502794835578,0.008858897243348006,0.03767868498872691,0.002147253000453866,0.04741818712364856,0.00267878647288655,0.018107606642342847,0.007715072442181912,0.020314551486076783,0.008757378228404281,0.0212160956943969,0.016866408748522355,0.021390224978300773,0.017587146608157078,0.05025751280109439,0.033245175435389906,0.12999999999999998,2.7755575615628914e-17,115.8095576833041,2.2260857783523558
2000,sin,0.6,fixed,30,30,0,0.038960256166127305,0.0019364830753562591,0.04901820437896703,0.0027336065315671674,0.020112502557537115,0.008699314044725334,0.022616931733165393,0.009822907784506679,0.03428687375977347,0.0020408160595089017,0.04277660122643367,0.0023953722384732565,0.019907676590213752,0.008417323186532657,0.022411242398874414,0.009584314811182566,0.024970549246562796,0.018914707287750316,0.02736594386003475,0.014856948987217943,0.06683615877791192,0.04222229537212052,0.12999999999999998,2.7755575615628914e-17,116.21017043745378,1.0854410176244798
2000,sin,0.9,fixed,30,30,0,0.038962894174827074,0.002068385001881869,0.049131510280653455,0.0027717706526872257,0.021833478387934792,0.009507517003890603,0.02463534901184667,0.010711093140128304,0.027627791993555344,0.001305510053722454,0.03345739796127609,0.001455458270398753,0.021448818756369666,0.009035308079742902,0.024257526832141676,0.010328452242244063,0.02893583396282486,0.021921916768389442,0.03516768998897073,0.005629328644710732,0.0884285068780761,0.047969716608911535,0.12999999999999998,2.7755575615628914e-17,114.29054615699764,5.668606340905598
2000,sqrt,0.0,fixed,30,30,0,0.03119286029253856,0.0020492354061526284,0.04091903873945092,0.0024802534716843374,0.014328231910907574,0.006006128669310497,0.016006539296718292,0.006346580800760075,0.03119112865719708,0.0020285906780666647,0.0409088904660808,0.0024498073417838937,0.014340280088309055,0.006016671412384245,0.016020459268724217,0.006357953758122655,0.029426276890344123,0.017706047319623892,0.023417944824468503,0.01559740360719632,0.05748361111777069,0.02337821179981507,0.12999999999999998,2.7755575615628914e-17,161.55680809580565,7.8761721332189785
2000,sqrt,0.3,fixed,30,30,0,0.030866818213072727,0.001985743303485444,0.04019064511549642,0.0027958550811406652,0.018326100830240458,0.008184141379009104,0.0206705461708902,0.009139934817695436,0.029529754571207226,0.0019793700897980863,0.038484446010562175,0.0028240529102836723,0.018248465813315393,0.008060305202570985,0.020588293369364092,0.009028886940171033,0.031148932878536227,0.018900576741078645,0.020181361697283025,0.015909126026460725,0.05978435683122101,0.034871646695270805,0.12999999999999998,2.7755575615628914e-17,171.42365206667066,5.741583899948245
2000,sqrt,0.6,fixed,30,30,0,0.030783748399136827,0.001966544703477416,0.04011512472272263,0.0027737454449210434,0.020254733476670662,0.009060907058148956,0.022899823838033004,0.010109276358964532,0.024943717536893135,0.0017519397874897582,0.03259649104813643,0.0024877679952130098,0.02005160028451518,0.008753546544272742,0.022682557895465708,0.009847194072379533,0.033199553121619145,0.0227226115639444,0.020201511907517566,0.014381120656956134,0.0727493737246781,0.04655284833396024,0.12999999999999998,2.7755575615628914e-17,167.47363176662475,7.039363287833653
2000,sqrt,0.9,fixed,30,30,0,0.030711997282063717,0.001962195333011548,0.04006015780404985,0.002712136482139048,0.021975709307065206,0.009873391779642754,0.024921132110526226,0.010998510987335564,0.01399335458866899,0.0009970178061933005,0.018441568978844008,0.001382720952441946,0.021593918745414446,0.009353308438677358,0.024524321335719412,0.010576435061191242,0.03621858317326971,0.02624469416713687,0.02378478447605287,0.00539260911476844,0.09248300837840705,0.05346642507118615,0.12999999999999998,2.7755575615628914e-17,153.82446616519397,15.647602839526417
