n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,a_eval_mode,a_eval_selected_points,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
5000,base2,0,123,1,,3262.455118953949,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.0,-0.0065289627239931754,0.02183190664554535,0.028242298263239922,0.009140428629685754,0.009863502589929778,0.021965240054818914,0.028416439824242242,0.009023805941256097,0.010675262856847258,0.05272738363279555,0.0774201652103223,0.0065289627239931754,
5000,base2,0,123,1,,3354.6087278790073,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.3,-0.03687337319102002,0.022386603658623862,0.028703457313395235,0.0048879743430487455,0.00591173395808375,0.02180797516624329,0.02798505853684036,0.00445040955128824,0.005471074354708319,0.06195945843522147,0.08714384541406238,0.03687337319102002,
5000,base2,0,123,1,,3063.159001603024,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.6,-0.06956002854737575,0.022430859433664838,0.028763524043435684,0.005402943304081018,0.006643881626560941,0.01977666504185131,0.025329051263453493,0.004789093892337615,0.00596487103138243,0.06268945828111397,0.08832384039668653,0.06956002854737575,
5000,base2,0,123,1,,3193.624361417955,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.9,-0.10223050173665738,0.022409905492535954,0.028822151510732842,0.0060052112170882604,0.007428759425504674,0.015491189865749318,0.019835189243439987,0.005221540714776124,0.006984622549330879,0.06319376119523312,0.08910679472775157,0.10223050173665738,
2000,base2,0,123,1,,1920.960978968069,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.0,-0.038138028829453975,0.030340132084134344,0.03892107025192454,0.020447115310177205,0.022088016281307025,0.03054152606859288,0.0392110203449424,0.019659377152526497,0.019921620228740413,0.13246942534156694,0.13556803463222694,0.038138028829453975,
2000,base2,0,123,1,,1299.0665043909103,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.3,-0.05130754160583828,0.030267604829989938,0.0390243997478757,0.02236138578846872,0.029393893864951764,0.029573541604240656,0.0379546512418071,0.018544476092707568,0.023379251994022025,0.12050370514935886,0.12291787813555509,0.05130754160583828,
2000,base2,0,123,1,,2456.234594050795,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.6,-0.1292494755199433,0.030672922180171733,0.03971354512768316,0.02482263849689309,0.03295023736557857,0.027268007473928168,0.03504004797979942,0.02161577530960232,0.026601696748859625,0.11604204465252176,0.11831512983630847,0.1292494755199433,
2000,base2,0,123,1,,2317.2087345048785,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.9,-0.20902404887190273,0.031341131883221275,0.04065287774130409,0.027118951685885337,0.036313556362985194,0.021859838334527947,0.02833920378372409,0.024691969179270454,0.029755316288599957,0.11404137127684172,0.11643127802561765,0.20902404887190273,
5000,base2,0,123,1,,5554.326832769439,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.0,-0.0059139786043769385,0.01948802610757502,0.024710074706957543,0.0076034881715202896,0.008482023685215861,0.01966975632953714,0.024984912437260944,0.008117407157291284,0.009028576712373528,0.04454284908308295,0.050983737357888,0.0059139786043769385,
5000,base2,0,123,1,,4100.730898275971,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.3,-0.03785028829418169,0.019953359299894658,0.025126189131040796,0.0055798880952887125,0.005862678409533685,0.019587375788257123,0.024713322372502785,0.003535640282738478,0.004840676768748421,0.04768526546532672,0.05517019009269408,0.03785028829418169,
