variable,variable_type,cfp_beta_hat_std,cfp_bootstrap_se_std,cfp_ci_lower_std,cfp_ci_upper_std,cfp_beta_hat_iop,cfp_bootstrap_se_iop,cfp_ci_lower_iop,cfp_ci_upper_iop,cfp_ci_excludes_zero,cfp_n_success,roi_beta_hat_std,roi_bootstrap_se_std,roi_ci_lower_std,roi_ci_upper_std,roi_beta_hat_iop,roi_bootstrap_se_iop,roi_ci_lower_iop,roi_ci_upper_iop,roi_ci_excludes_zero,roi_n_success,cfp_significant,roi_significant,significant_either_image,significant_in
z_vf_24_mean,vf,-0.5718974136807025,0.5188554404645297,-1.662912770659524,0.3522512749817029,-2.3899201696161607,2.1682613920222713,-6.949198712638962,1.4720339814682168,False,2000,-0.5919070924770515,0.4916432961218467,-1.5602931138391365,0.3337665305126499,-2.4735392484910914,2.054543702332921,-6.520358186755661,1.3947874988298898,False,2000,False,False,False,none
z_vf_25_mean,vf,-0.0847954223722786,0.6568959273161347,-1.309372151054043,1.257506351135204,-0.3543542694385651,2.7451231435504497,-5.471776648189007,5.255033018345429,False,2000,-0.0100534797150308,0.6368595968723745,-1.2488575185642456,1.3244571091073003,-0.0420128039942382,2.661392689264164,-5.218890138677666,5.534815655967107,False,2000,False,False,False,none
z_vf_26_mean,vf,-0.4189164877277807,0.4951948674456343,-1.4367056968982097,0.53843557347471,-1.7506233451238402,2.0693854759403973,-6.003894825683725,2.2500854284410186,False,2000,-0.4588233557633696,0.4844793084227652,-1.4190900361711585,0.5511090460382705,-1.9173914167096875,2.0246058878099893,-5.93028018455125,2.3030470033217205,False,2000,False,False,False,none
z_vf_27_mean,vf,-1.0297114282210589,0.6474371576033545,-2.2671407523897753,0.1486170924550688,-4.303093618401533,2.705595591972906,-9.474226114476153,0.621060662824368,False,2000,-1.1048377903765096,0.6520286764271208,-2.3425778464915448,0.2681395134915798,-4.617041546631617,2.724783235042434,-9.789472570253462,1.1205366840885485,False,2000,False,False,False,none
z_vf_28_mean,vf,0.9555172568766888,0.6774741591340161,-0.6758166817825275,1.93175088538817,3.993041251801976,2.83111816660899,-2.8241916821412425,8.072654803507545,False,2000,1.0835689478435098,0.6956323421732811,-0.550410982428124,2.1143975204662113,4.528160508637649,2.906999971371532,-2.3001298432478063,8.835922597072429,False,2000,False,False,False,none
z_vf_29_mean,vf,-1.047698670740529,0.5985098670945461,-2.2147252520744596,0.1024110891763546,-4.37826107442549,2.5011317919373366,-9.255185324279408,0.4279689359665102,False,2000,-1.1121356007573535,0.6226255118318853,-2.3431783469695047,0.0743343076553439,-4.64753859698714,2.6019094216002023,-9.791982020672032,0.3106379866567213,False,2000,False,False,False,none
z_vf_30_mean,vf,-0.3316598922166647,0.4604308497129818,-1.267297262731256,0.541203862909479,-1.385984001501133,1.9241090239602412,-5.295948568132121,2.261653920616756,False,2000,-0.3826864212143711,0.4444718804798603,-1.3171457981566896,0.4038013362544255,-1.5992203755778454,1.8574175832505349,-5.5042621876540725,1.6874581611086117,False,2000,False,False,False,none
z_vf_31_mean,vf,0.1010035021270888,0.4850794476983047,-0.7359153963502989,1.1912899806637136,0.4220867259773441,2.027113828788354,-3.0753400991084026,4.978319335851063,False,2000,0.1824236861687275,0.4857253961067627,-0.6591756408088083,1.2294647931595917,0.7623361053242718,2.0298132029994904,-2.7546499102865005,5.1378492658223,False,2000,False,False,False,none
z_vf_33_mean,vf,-0.3821211123641967,0.2961190203162072,-0.9863066535278796,0.1550112610894616,-1.596857988564414,1.2374611290964843,-4.121708034177174,0.6477814561374746,False,2000,-0.3386908027898025,0.2923267882415589,-0.9479574486169098,0.1631982409639702,-1.4153656958182388,1.221613650674196,-3.9614493302330422,0.6819942849810297,False,2000,False,False,False,none
z_vf_34_mean,vf,0.2643111344386109,0.2849691775930177,-0.3329605955390277,0.7981455313426584,1.1045381499165885,1.190866699090763,-1.3914195517072363,3.335395576224464,False,2000,0.2225405224616573,0.2746763735495011,-0.3410334012520468,0.753104879548993,0.9299816198941128,1.147853775099397,-1.4251552545403126,3.1471737735036736,False,2000,False,False,False,none
z_vf_35_mean,vf,-0.5264108420491622,0.3793362659515694,-1.1977513633474637,0.2773077620154524,-2.199834898397218,1.5852203059108303,-5.005321012078478,1.158850167491518,False,2000,-0.5825921687586981,0.3637546331297199,-1.242975195402061,0.170968375583358,-2.4346128194840913,1.5201057282511348,-5.194308312578773,0.7144651460188373,False,2000,False,False,False,none
z_vf_36_mean,vf,0.2674424038017756,0.3437665383006261,-0.4053345208856307,0.9214633093373558,1.1176235103824892,1.4365768472988554,-1.6938652348008676,3.850732134585472,False,2000,0.1790936224225444,0.3515602435024585,-0.5442445013745737,0.8697618787402877,0.7484199967307924,1.4691462081882911,-2.274360540759469,3.634675392893457,False,2000,False,False,False,none
z_vf_37_mean,vf,-0.2915163332710066,0.5309142692868541,-1.342830142131475,0.7460590627714709,-1.2182268147935746,2.218654412754679,-5.611595304119205,3.1177297871781446,False,2000,-0.2871335645091132,0.5094056676077957,-1.3212837983151966,0.7153546524779436,-1.1999115239525138,2.1287714376906908,-5.521554607245625,2.9894181569779064,False,2000,False,False,False,none
z_vf_38_mean,vf,0.3037076167993008,0.4572141525267542,-0.5228137371199983,1.2579543860486928,1.269173354681315,1.910666666465676,-2.184802842967721,5.256905325599885,False,2000,0.3697682648185921,0.444135859663741,-0.5035808073653174,1.232659683979175,1.545236283700547,1.8560133752463652,-2.1044297452023484,5.151200496002381,False,2000,False,False,False,none
