n_subject,coef_type,rho_true,sigma2_function,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,rho_error_mean,rho_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std,Sigma_fro_error_mean,Sigma_fro_error_std,rho_mae,rho_rmse
1000,base2,0.9,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.05134182957617129,0.0023104054934871138,0.07278680706937428,0.005228017499151,0.02920440281050874,0.011639265060349742,0.03345742000780161,0.012277973557833501,0.036223010183272016,0.0015778171817895155,0.05339665187947719,0.004136827374942792,0.02797660176316234,0.01113417535809808,0.03144756756278959,0.011695873538428993,0.31466806649990464,0.04085483802431148,0.356384839181784,0.040504916990373604,0.2300109542715321,0.015800623093637806,-0.2300109542715321,0.015800623093637806,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1261.978990399885,285.1154316379546,,,0.2300109542715321,0.23055302811945028
1000,base2,0.9,sin,exchangeable_varying_sigma,fixed,30,30,0,0.04985055021291804,0.002214354905699135,0.0690547153729119,0.004594170443209733,0.028828197609408846,0.011470764391164855,0.03331592647635754,0.011957332434205381,0.03494365195483483,0.0014778854230795668,0.05034077568677411,0.0036103435695808792,0.027838309110418968,0.011229380409701747,0.031179851127886384,0.011782504778707967,0.3029737304875542,0.04179147001777615,0.32431319321207247,0.042294704363448156,0.22124326420539164,0.015114709621473574,-0.22124326420539164,0.015114709621473574,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1228.995736598404,135.60072816888177,,,0.22124326420539164,0.22175896014185806
1000,base2,0.9,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.042337539339922695,0.0018480309121114717,0.05616141808229139,0.0033101200163802385,0.024754860453951144,0.00924476403675056,0.028819184301638996,0.009792395908420432,0.029961730132932254,0.001250641725552722,0.04097273242882242,0.0025971193135812605,0.024085971140921147,0.00970728841913017,0.027031896459107547,0.010185253522156872,0.20914958542743992,0.030934664751525464,0.21527846177652007,0.0310356911440867,0.2143009867529483,0.014931782219084169,-0.2143009867529483,0.014931782219084169,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1252.6286800123091,165.21848739854244,,,0.2143009867529483,0.21482055544925274
1000,base3,0.0,constant,exchangeable_varying_sigma,fixed,30,30,0,0.0648961250710584,0.002221807673775738,0.08406407340481449,0.0034111562403197596,0.022067807789766032,0.007644822265126901,0.02637399156434128,0.009117497837724189,0.06602409184268439,0.002312706182989397,0.08552668314316812,0.0035332544715281035,0.02267741806322347,0.007646631075909162,0.02711362626136222,0.00934316941330653,0.17163600659742723,0.02641907083638233,0.20981155901794138,0.021801297543262446,0.028517800249245908,0.022083933451645176,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1220.6429252646399,573.2207349465184,0.24195619304731214,0.040243042784892644,,
1000,base3,0.0,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.06600258071933389,0.002296210856532943,0.08696853926546799,0.0038037782302414087,0.02213484903132285,0.007675785755624662,0.02656566025998387,0.009333080223529343,0.06710016787848856,0.002354986775339595,0.08840090990111524,0.0038809905874778216,0.02226200608755661,0.007359525928097481,0.026602651172646884,0.008956681876663519,0.1912449620344915,0.024544258617428684,0.2643153712592008,0.023936994398007286,0.029080130820919294,0.022378083763529042,0.01599577106178059,0.03302374826739698,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1330.752170043428,251.501869577388,,,0.029080130820919294,0.036693768428567024
1000,base3,0.0,sin,exchangeable_varying_sigma,fixed,30,30,0,0.06482655666323799,0.002229004200583355,0.08401272189098218,0.0034457189193861258,0.022195497786358934,0.007905698330177886,0.02674916018033176,0.009306285924145046,0.06587030361116965,0.002328816286436922,0.08539101016112624,0.0035556435310884534,0.022142455022855834,0.007486463853883671,0.026414026428924396,0.008967421223923694,0.19238163872946396,0.02335515907642391,0.2274966520451936,0.02392211370443468,0.029463553284598324,0.021764723080535783,0.01733987995859554,0.032266588074171536,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1251.5866166610465,135.57003225396085,,,0.029463553284598324,0.03663064486091901
1000,base3,0.0,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.05842751727459039,0.0019045989122729915,0.07386460674679628,0.00252869285680847,0.019404588308281213,0.006764909765289496,0.023116428771573397,0.0078570564917567,0.059633442801592024,0.002032687145325431,0.07539888817251163,0.0026903409010780575,0.019488447147139546,0.006799901457094829,0.023507808324340747,0.008167968127608458,0.09428293106262116,0.013257051071996708,0.11829531176706524,0.017843227891905556,0.030018684501891615,0.021381132613971676,0.01715065775527397,0.03262099308178419,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1317.8617710777316,178.2877114148461,,,0.030018684501891615,0.03685477243289329
1000,base3,0.3,constant,exchangeable_varying_sigma,fixed,30,30,0,0.06519271348362128,0.001781104618114949,0.08455063676621394,0.002841790338710848,0.02460992897662139,0.01112006805700049,0.028928800328416087,0.011696650302465165,0.06557322531877523,0.001703079979681241,0.08500179581388036,0.002677203657180157,0.02526841732676221,0.010867624424922472,0.02968681962253888,0.011047570731754922,0.1707991196073536,0.032149572080360185,0.2087710739822903,0.03014000233856148,0.10995539180603825,0.030798319079282307,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1194.399023049674,413.21766746623666,0.310561369281471,0.055178807500928656,,
1000,base3,0.3,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.06623961893863231,0.0018500386782986835,0.08744537686669758,0.0031905965299657904,0.02483923288360134,0.010850825503439816,0.02912687644578259,0.011289418835897985,0.06657772522092041,0.0017389971598958224,0.0878013067957804,0.0029733791986739206,0.024912426351928717,0.010916440417914713,0.02920598213091828,0.011231275652886837,0.19061405342660864,0.03181743455325853,0.26284300259990573,0.03309691792641488,0.11235931288084625,0.03139206222429298,-0.11235931288084625,0.03139206222429298,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1271.7487983898318,258.8259348727183,,,0.11235931288084625,0.11666223365661135
1000,base3,0.3,sin,exchangeable_varying_sigma,fixed,30,30,0,0.0651317203586455,0.0018127478861562976,0.08449904564976013,0.0029122712186572725,0.024339189798361714,0.010764018471284685,0.028803248278126695,0.011369973248439476,0.0654320776972108,0.0017397959881685083,0.08488197267810624,0.002760916513197248,0.024918980782503923,0.0108189003570409,0.029300343147330914,0.011012553849325004,0.1902785404983674,0.02811938369501999,0.22480625503161233,0.030969509498197514,0.11197011539826524,0.032586284366010715,-0.11197011539826524,0.032586284366010715,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1136.7300791303007,216.48682794035986,,,0.11197011539826524,0.11661549069949217
