rho,rep,seed,miae,rmise,beta_mae,beta_rmse,se_beta_nonzero,ppv_beta_nonzero,spe_beta_nonzero,npv_beta_nonzero,se_const_zero,ppv_const_zero,spe_const_zero,npv_const_zero,se_const_nonzero,ppv_const_nonzero,spe_const_nonzero,npv_const_nonzero,se_vary,ppv_vary,spe_vary,npv_vary
0.5,21,144,0.10256547946296793,0.16875215216910025,0.006206620692589428,0.0134943889848047,1.0,1.0,1.0,1.0,0.6863636363636364,0.993421052631579,0.99,0.5892857142857143,0.2909090909090909,0.32,0.8716981132075472,0.8555555555555555,1.0,0.3813559322033898,0.7345454545454545,1.0
0.5,22,145,0.1022698258069775,0.1609570865896306,0.010602225531576625,0.013818916022802956,1.0,1.0,1.0,1.0,0.6409090909090909,0.9527027027027027,0.93,0.5406976744186046,0.21818181818181817,0.26666666666666666,0.8754716981132076,0.8436363636363636,0.8666666666666667,0.30708661417322836,0.68,0.9689119170984456
0.5,23,146,0.1050802810969677,0.16311572429631724,0.007234760351293425,0.0124940077504347,1.0,1.0,1.0,1.0,0.6227272727272727,0.9133333333333333,0.87,0.5117647058823529,0.3090909090909091,0.2982456140350877,0.8490566037735849,0.8555133079847909,0.8444444444444444,0.336283185840708,0.7272727272727273,0.966183574879227
0.5,24,147,0.10375385895495183,0.16157338644107888,0.009693714063510519,0.0162077485400664,1.0,1.0,1.0,1.0,0.6363636363636364,0.958904109589041,0.94,0.5402298850574713,0.2545454545454545,0.2916666666666667,0.8716981132075472,0.8492647058823529,0.8444444444444444,0.30158730158730157,0.68,0.9639175257731959
0.5,25,148,0.10357192168258318,0.15847575911478118,0.0020017700745652055,0.00384123948849654,1.0,1.0,1.0,1.0,0.6409090909090909,0.9724137931034482,0.96,0.5485714285714286,0.2727272727272727,0.3,0.8679245283018868,0.8518518518518519,0.9333333333333333,0.336,0.6981818181818182,0.9846153846153847
0.5,26,149,0.10794535504782415,0.16286898766696437,0.00970111362556174,0.020127977062462412,1.0,1.0,1.0,1.0,0.6136363636363636,0.9183673469387755,0.88,0.5086705202312138,0.32727272727272727,0.3103448275862069,0.8490566037735849,0.8587786259541985,0.8222222222222222,0.3217391304347826,0.7163636363636363,0.9609756097560975
0.5,27,150,0.05757277597928291,0.10231076931604807,0.008956396659174486,0.01351337643177361,1.0,1.0,1.0,1.0,0.7090909090909091,0.9629629629629629,0.94,0.5949367088607594,0.6181818181818182,0.9444444444444444,0.9924528301886792,0.926056338028169,0.9333333333333333,0.3442622950819672,0.7090909090909091,0.9848484848484849
0.5,28,151,0.04584838810488895,0.0905805654505167,0.012488279565959774,0.01732722194567589,1.0,1.0,1.0,1.0,0.8227272727272728,0.9731182795698925,0.95,0.7089552238805971,0.6727272727272727,0.9024390243902439,0.9849056603773585,0.9354838709677419,0.9333333333333333,0.45161290322580644,0.8145454545454546,0.986784140969163
0.5,29,152,0.05249025540995136,0.09086044863408593,0.011689733037575265,0.018515459811083906,1.0,1.0,1.0,1.0,0.7772727272727272,0.9395604395604396,0.89,0.644927536231884,0.6909090909090909,1.0,1.0,0.9397163120567376,0.8,0.36,0.7672727272727272,0.9590909090909091
0.9,0,123,0.16750747520486192,0.28525931090830375,0.009826334610821838,0.018267018600979443,1.0,1.0,1.0,1.0,0.20909090909090908,0.9787234042553191,0.99,0.3626373626373626,0.05454545454545454,0.75,0.9962264150943396,0.8354430379746836,0.9777777777777777,0.16356877323420074,0.18181818181818182,0.9803921568627451
0.9,1,124,0.11797200623455173,0.19689528293191627,0.01374986290565178,0.022824480704990883,1.0,1.0,1.0,1.0,0.35,0.9058823529411765,0.92,0.39148936170212767,0.21818181818181817,0.8571428571428571,0.9924528301886792,0.8594771241830066,0.8222222222222222,0.167420814479638,0.33090909090909093,0.9191919191919192
0.9,2,125,0.1659238506893778,0.27350693564761297,0.007808583533638762,0.01236109002967082,1.0,1.0,1.0,1.0,0.20909090909090908,0.92,0.96,0.35555555555555557,0.12727272727272726,0.5833333333333334,0.9811320754716981,0.8441558441558441,0.9111111111111111,0.15891472868217055,0.2109090909090909,0.9354838709677419
0.9,3,126,0.10722197165934344,0.1817294626558836,0.0011494693643897935,0.0024465823483913757,1.0,1.0,1.0,1.0,0.42272727272727273,0.9587628865979382,0.96,0.4304932735426009,0.2545454545454545,1.0,1.0,0.8660130718954249,0.9111111111111111,0.19617224880382775,0.3890909090909091,0.963963963963964
0.9,4,127,0.1527869105358089,0.2578112647354466,0.001577514756208757,0.002649060061398386,1.0,1.0,1.0,1.0,0.21818181818181817,0.9411764705882353,0.97,0.36059479553903345,0.05454545454545454,0.75,0.9962264150943396,0.8354430379746836,0.9555555555555556,0.16226415094339622,0.19272727272727272,0.9636363636363636
0.9,5,128,0.12901925724207186,0.21312336327018994,0.0038351129696662526,0.005765116886296787,1.0,1.0,1.0,1.0,0.2681818181818182,0.9833333333333333,0.99,0.38076923076923075,0.10909090909090909,1.0,1.0,0.8439490445859873,0.9777777777777777,0.1732283464566929,0.23636363636363636,0.9848484848484849
0.9,6,129,0.1344309817157747,0.22604570842727612,0.01832998040115373,0.02396649729125491,1.0,1.0,1.0,1.0,0.2909090909090909,0.927536231884058,0.95,0.3784860557768924,0.12727272727272726,0.5384615384615384,0.9773584905660377,0.8436482084690554,0.9333333333333333,0.17647058823529413,0.2872727272727273,0.9634146341463414
0.9,7,130,0.12353420404245526,0.19369095045699772,0.0022132004712852376,0.003550699606861457,1.0,1.0,1.0,1.0,0.2590909090909091,0.9193548387096774,0.95,0.3682170542635659,0.16363636363636364,1.0,1.0,0.8520900321543409,0.8888888888888888,0.1606425702811245,0.24,0.9295774647887324
0.9,8,131,0.1326473189289672,0.22570660949735888,0.006084640218547375,0.011355150056970655,1.0,1.0,1.0,1.0,0.32727272727272727,0.8888888888888888,0.91,0.3807531380753138,0.05454545454545454,0.75,0.9962264150943396,0.8354430379746836,0.8,0.15319148936170213,0.27636363636363637,0.8941176470588236
0.9,9,132,0.10848791947588421,0.17550115587429316,0.006759098659890618,0.011071210302701187,1.0,1.0,1.0,1.0,0.37727272727272726,0.9431818181818182,0.95,0.40948275862068967,0.2545454545454545,0.9333333333333333,0.9962264150943396,0.8655737704918033,0.9111111111111111,0.1889400921658986,0.36,0.9611650485436893
0.9,10,133,0.1512691811885487,0.2560239440484421,0.013184646538169859,0.015372489753346742,1.0,1.0,1.0,1.0,0.17272727272727273,0.8837209302325582,0.95,0.34296028880866425,0.18181818181818182,1.0,1.0,0.8548387096774194,0.9111111111111111,0.15355805243445692,0.1781818181818182,0.9245283018867925
0.9,11,134,0.12175893666294339,0.21115429633686125,0.006707655477550828,0.010812091977350485,1.0,1.0,1.0,1.0,0.38636363636363635,0.8762886597938144,0.88,0.39461883408071746,0.21818181818181817,0.9230769230769231,0.9962264150943396,0.8599348534201955,0.8,0.17142857142857143,0.36727272727272725,0.9181818181818182
0.9,12,135,0.11584508529584565,0.19500648884186308,0.00869701248641248,0.017826729214481574,1.0,1.0,1.0,1.0,0.36818181818181817,0.9759036144578314,0.98,0.41350210970464135,0.03636363636363636,0.6666666666666666,0.9962264150943396,0.832807570977918,0.9555555555555556,0.18376068376068377,0.3054545454545455,0.9767441860465116
0.9,13,136,0.12550508882709166,0.20357675528545993,0.013427658827667301,0.022962641783138466,1.0,1.0,1.0,1.0,0.33636363636363636,0.925,0.94,0.39166666666666666,0.2727272727272727,0.9375,0.9962264150943396,0.868421052631579,0.8888888888888888,0.17857142857142858,0.33090909090909093,0.9479166666666666
0.9,14,137,0.11082125996353756,0.1930163119281421,0.005471098984595426,0.00892718319483347,1.0,1.0,1.0,1.0,0.4318181818181818,0.9047619047619048,0.9,0.4186046511627907,0.2909090909090909,0.8421052631578947,0.9886792452830189,0.8704318936877077,0.7777777777777778,0.17857142857142858,0.41454545454545455,0.9193548387096774
0.9,15,138,0.14228194041170555,0.23299678912749033,0.012498151367140716,0.021631055968974817,1.0,1.0,1.0,1.0,0.2590909090909091,0.9661016949152542,0.98,0.37547892720306514,0.21818181818181817,0.75,0.9849056603773585,0.8585526315789473,0.9777777777777777,0.17959183673469387,0.2690909090909091,0.9866666666666667
0.9,16,139,0.14370103137518284,0.24310288434254124,0.005049552080982609,0.00825546452094565,1.0,1.0,1.0,1.0,0.2772727272727273,1.0,1.0,0.3861003861003861,0.14545454545454545,0.5333333333333333,0.9735849056603774,0.8459016393442623,1.0,0.18442622950819673,0.27636363636363637,1.0
0.9,17,140,0.11563136840502827,0.19080062242853163,0.00916791527500036,0.012293946082993472,1.0,1.0,1.0,1.0,0.38181818181818183,0.9230769230769231,0.93,0.40611353711790393,0.12727272727272726,1.0,1.0,0.8466453674121406,0.8666666666666667,0.17567567567567569,0.33454545454545453,0.9387755102040817
0.9,18,141,0.14298401845859984,0.2290955801515819,0.007545060954212988,0.012615464606631094,1.0,1.0,1.0,1.0,0.2,0.9361702127659575,0.97,0.3553113553113553,0.07272727272727272,0.8,0.9962264150943396,0.8380952380952381,0.9555555555555556,0.16044776119402984,0.18181818181818182,0.9615384615384616
