image_type,t,age,sigma2_hat_std,sigma2_bootstrap_mean_std,sigma2_bootstrap_se_std,sigma2_ci_lower_pointwise_std,sigma2_ci_upper_pointwise_std,sigma_hat_std,sigma_bootstrap_mean_std,sigma_bootstrap_se_std,sigma_ci_lower_pointwise_std,sigma_ci_upper_pointwise_std,sigma_hat_iop,sigma_bootstrap_mean_iop,sigma_bootstrap_se_iop,sigma_ci_lower_pointwise_iop,sigma_ci_upper_pointwise_iop,local_support_pairs,variance_support_pairs,min_variance_support_pairs,support_ok,confidence_level,ci_method,n_success
roi,0.16,27.759999999999998,0.710603035272619,0.6332574911921525,0.08348418791579333,0.48207554799053,0.8000810104468141,0.84297273696877,0.7940547466958825,0.052345300676337594,0.6943166005589374,0.8944722518173477,3.5227254020123957,3.318300467026533,0.21874743070764646,2.9015015771719757,3.737938351604051,273,184,30,True,0.95,percentile,500
roi,0.17,28.37,0.7109155679621968,0.6341203255619645,0.08244895716496546,0.4824738161294337,0.7993837069453923,0.8431580919152688,0.7946410620185027,0.05168414280325015,0.6946025878711021,0.8940826063319832,3.523499987654119,3.3207506386513117,0.21598449718426738,2.902696698585793,3.736310049775443,273,185,30,True,0.95,percentile,500
roi,0.18,28.98,0.7111888585396972,0.63497553711228,0.08149682479641415,0.4854696321194876,0.7977320661433815,0.8433201400059749,0.7952184086789303,0.051072854662681896,0.6967564955252045,0.8931584748933425,3.5241771755398514,3.3231633308503135,0.21342996586161503,2.9116977313285357,3.7324481677110195,273,188,30,True,0.95,percentile,500
roi,0.19,29.59,0.711120722726558,0.6355445766004237,0.08065451817271477,0.48922407168289656,0.7969354933775674,0.8432797416792117,0.7956100541840995,0.05054034957804258,0.6994454004054279,0.8927124356374746,3.5240083536958626,3.3247999906248684,0.21120466354032633,2.922934480881338,3.7305842001732423,273,189,30,True,0.95,percentile,500
roi,0.2,30.200000000000003,0.7113656596285587,0.636391872795774,0.07983479935525498,0.4907317707165236,0.7959840996935033,0.843424957911822,0.7961760153307076,0.050006266219500384,0.7005223819354371,0.8921793968975371,3.5246152023980404,3.327165103540474,0.20897276572036352,2.9274351130214757,3.7283566677429687,273,193,30,True,0.95,percentile,500
roi,0.21,30.81,0.7112540220959402,0.6369389984515503,0.07903539853290976,0.49113913345445614,0.7954797831659025,0.8433587742449474,0.7965512718023656,0.04949716942560042,0.7008131400542981,0.891896726999789,3.5243386253816404,3.3287332746651215,0.2068452850447685,2.9286501713101174,3.7271754095770615,273,197,30,True,0.95,percentile,500
roi,0.22,31.42,0.7113005271493834,0.6377181178041136,0.07834090416675311,0.49276647168062265,0.7950263046506361,0.8433863451286032,0.7970681273398365,0.04904415195271439,0.701972730630481,0.8916423730362549,3.524453842218379,3.3308931785993416,0.20495215601543645,2.933496021003125,3.7261124817632085,273,197,30,True,0.95,percentile,500
roi,0.23,32.03,0.7111598884897168,0.6383412888262667,0.07773394434238742,0.49474481491496763,0.7928643535833694,0.8433029636433853,0.7974829084022711,0.04865217055716231,0.7033788300141738,0.8904292896174741,3.524105396695584,3.3326265202850602,0.20331409257794866,2.939372014139629,3.721043089140304,273,200,30,True,0.95,percentile,500
roi,0.24,32.64,0.7108013149452013,0.6387787620018389,0.07721643623318034,0.49741851655852204,0.7928698924197852,0.843090336171161,0.7977770786162537,0.048323546710565414,0.7052758905278023,0.8904323131742476,3.5232168410345035,3.333855837485802,0.20194079600340378,2.9472997002526395,3.721055724377226,273,200,30,True,0.95,percentile,500
roi,0.25,33.25,0.7127298162917559,0.6414002071952497,0.07673896449708514,0.5015723294338983,0.7914714017672879,0.8442332712537193,0.7994413590019301,0.04794076915413834,0.7082177077271414,0.8896467708952376,3.5279930885590165,3.340810751368041,0.20034119478000642,2.9595933530858898,3.7177729969303406,273,207,30,True,0.95,percentile,500
roi,0.26,33.86,0.7156230223596215,0.6451046623304372,0.07642985694395098,0.5054955910713848,0.7963338127895723,0.8459450468911214,0.8017738485405639,0.04762240979537973,0.7109804279774485,0.892375002673191,3.5351464818491793,3.3505580655898743,0.19901079279796832,2.971138572020736,3.729174090898496,273,214,30,True,0.95,percentile,500
roi,0.27,34.47,0.7196304385826149,0.6500852923297685,0.07636620693289166,0.510031755847357,0.8015636328609914,0.8483103433193626,0.8048862914723937,0.0474114524268837,0.7141649918305759,0.8953007959961484,3.54503089381844,3.363564751687098,0.19812921638612027,2.9844466465144404,3.741400781048503,273,217,30,True,0.95,percentile,500
roi,0.28,35.08,0.7228425410483331,0.6543905820852192,0.07652665689888,0.5177150751404936,0.806441850480195,0.8502014708575452,0.8075590274083277,0.047365454807833475,0.7195217669458852,0.898017087587912,3.5529337864329227,3.3747339323277945,0.1979369954826982,3.0068322432769454,3.7527519777953704,273,221,30,True,0.95,percentile,500
roi,0.29,35.69,0.7258881354570814,0.6585302677081752,0.07698571933835156,0.5185007731913545,0.8090282157651532,0.8519906897713622,0.8101096423095319,0.04750946689013734,0.7200693174814756,0.8994598794253366,3.560410809877511,3.385392777518367,0.19853881212311858,3.009120419508535,3.7587813061859756,273,223,30,True,0.95,percentile,500
roi,0.3,36.3,0.7284847106703867,0.6623244456677122,0.07769320677862024,0.5198403418688192,0.8086287198480057,0.8535131578777135,0.8124301385552612,0.047815146253193136,0.720999508041594,0.8992377848567383,3.566773099945495,3.395089972589586,0.19981622527052326,3.013007622227123,3.75785318817677,273,223,30,True,0.95,percentile,500
