image_type,pc,variable,n_outer_folds,loading_mean,loading_sd,mean_abs_loading,sign_agreement
roi,2,z_vf_35_mean,1,-0.08031604794052428,,0.08031604794052428,1.0
roi,2,z_vf_36_mean,1,-0.012355190813464064,,0.012355190813464064,1.0
roi,2,z_vf_37_mean,1,0.0175036176136717,,0.0175036176136717,1.0
roi,2,z_vf_38_mean,1,0.07687730090007659,,0.07687730090007659,1.0
roi,2,z_vf_39_mean,1,0.07777281236937829,,0.07777281236937829,1.0
roi,2,z_vf_40_mean,1,0.08597744586433861,,0.08597744586433861,1.0
roi,2,z_vf_41_mean,1,0.09419966495926933,,0.09419966495926933,1.0
roi,2,z_vf_42_mean,1,0.0884689196570302,,0.0884689196570302,1.0
roi,2,z_vf_43_mean,1,-0.07555164761986684,,0.07555164761986684,1.0
roi,2,z_vf_44_mean,1,-0.13339604797161847,,0.13339604797161847,1.0
roi,2,z_vf_45_mean,1,-0.14577218709399037,,0.14577218709399037,1.0
roi,2,z_vf_46_mean,1,-0.17111785675782895,,0.17111785675782895,1.0
roi,2,z_vf_47_mean,1,-0.17449281880117612,,0.17449281880117612,1.0
roi,2,z_vf_48_mean,1,-0.1961456810240683,,0.1961456810240683,1.0
roi,2,z_vf_49_mean,1,-0.18490153471195764,,0.18490153471195764,1.0
roi,2,z_vf_50_mean,1,-0.17681229741382357,,0.17681229741382357,1.0
roi,2,z_vf_51_mean,1,-0.17731663376371484,,0.17731663376371484,1.0
roi,2,z_vf_52_mean,1,-0.19387042663160112,,0.19387042663160112,1.0
roi,2,z_vf_53_mean,1,-0.14588915824071447,,0.14588915824071447,1.0
roi,2,z_vf_54_mean,1,9.423305683791831e-05,,9.423305683791831e-05,1.0
roi,2,z_vf_55_mean,1,0.04885351248303318,,0.04885351248303318,1.0
roi,2,z_vf_56_mean,1,0.05161517421327646,,0.05161517421327646,1.0
roi,2,z_vf_57_mean,1,-0.05281182848412874,,0.05281182848412874,1.0
roi,2,z_vf_58_mean,1,-0.1805137138927874,,0.1805137138927874,1.0
roi,2,z_vf_59_mean,1,-0.19012891604933826,,0.19012891604933826,1.0
roi,2,z_vf_60_mean,1,-0.18125052712304843,,0.18125052712304843,1.0
