n_subject,coef_type,rho_true,sigma2_function,a_eval_mode,a_eval_selected_points,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,rho_error_mean,rho_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std,Sigma_fro_error_mean,Sigma_fro_error_std,rho_mae,rho_rmse
2000,base2,0.3,constant,full,,exchangeable_varying_sigma,fixed,30,30,0,0.03450075296203894,0.0009239496133657314,0.045373278781900686,0.0013964427368957817,0.01745302118790968,0.006766819311569361,0.02065715252083635,0.00799624153114721,0.033903837711198835,0.0009784727579615828,0.04464894583000165,0.0014534684535507483,0.017325599148564345,0.006748813912440296,0.020304938290597332,0.007844754752668312,0.1890201660084651,0.02175472171393853,0.20855188971619606,0.017948968580813646,0.06277229931007021,0.023905948513743197,,,0.2,0.0,0.2,0.0,6380.681510810084,1578.3178815652707,0.3077776634328322,0.039828369869599166,,
2000,base2,0.3,mixed,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.03555289075106073,0.000957311480065783,0.048433478439240965,0.0016862092263576303,0.017269783627227205,0.006892255647997187,0.020532059986553823,0.008142970269515094,0.034720536760428036,0.0009731542569703216,0.04742169598112947,0.0016857229602573465,0.016957379205849093,0.006890011655084332,0.01999279994485841,0.007917452350557533,0.238220322681542,0.019011881850877318,0.2838567580854326,0.017546052139986605,0.06484389085664383,0.02413889191780848,-0.06457468792941454,0.02485006968333692,0.18,0.0,0.18,0.0,1536.8716606654655,302.7410436977149,,,0.06484389085664383,0.06919115755967649
2000,base2,0.3,sin,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.03460316081211073,0.0009662847151952427,0.04644717274723829,0.0015691387415001394,0.017436376297621778,0.006558511208331488,0.020628857261731744,0.007867235766796864,0.033899896055348974,0.000991481073747089,0.04561493026222006,0.0015895727037695702,0.016416802540937397,0.006924056842962934,0.019503552387958843,0.00791096673673497,0.2252683667516719,0.02067990886756413,0.24539468910695442,0.018449915234573747,0.061326350322320394,0.023305650090496337,-0.060512338841044115,0.02534425808705559,0.18,0.0,0.18,0.0,1390.9323669968019,114.72743101333693,,,0.061326350322320394,0.06560544619158244
2000,base2,0.3,sin2,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.029760270014962637,0.0008415515578642799,0.038527424855337306,0.0011985837402522681,0.014962019580025306,0.005893318305235888,0.017854121709986664,0.006984283957595856,0.029220018541781863,0.0008796028854359982,0.037938472484241995,0.0012391367594429073,0.014274136246830741,0.005919165829786857,0.01687981941318236,0.006654548887194795,0.150100765047264,0.017927592336012033,0.15672144612961908,0.01838273788217793,0.06215311320167003,0.02330991057464026,-0.060766272652169245,0.02671743849285637,0.18,0.0,0.18,0.0,1818.2649911238384,809.3131754879732,,,0.06215311320167003,0.06638042943260714
2000,base2,0.6,constant,full,,exchangeable_varying_sigma,fixed,30,30,0,0.03451544174967792,0.0009383695791161981,0.04538854842388311,0.0013877845143369907,0.01907838187536648,0.007410996304165523,0.02267382250883872,0.008828518905667654,0.031116164134350484,0.0009206350095486906,0.04098099485435043,0.0013527915063503498,0.018746915269326665,0.007400343094710166,0.021992445579625722,0.008412253558451339,0.1888615865066469,0.025478539698060357,0.2091873449456044,0.02112486580843085,0.13043023639394175,0.021002930607199644,,,0.2,0.0,0.2,0.0,6564.803513222648,1517.145161983118,0.40833749565767585,0.051493736769427485,,
2000,base2,0.6,mixed,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.03555623185199899,0.000998518768642607,0.04843778046936633,0.0017266946790400113,0.01891731176308202,0.007494962460699123,0.022555021449246142,0.008939855932202973,0.03168788872760744,0.0009219960183104631,0.043358146754547,0.0015977652321886244,0.018345556139824096,0.007548448845841467,0.021637179545781714,0.008504057860519122,0.2385186503155885,0.02252627299352819,0.284431162358815,0.02126290014915566,0.13541027370434638,0.019630487865813402,-0.13541027370434638,0.019630487865813402,0.18,0.0,0.18,0.0,1735.9831551725006,293.57619664245345,,,0.13541027370434638,0.13682579536964457
2000,base2,0.6,sin,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.03460946700283806,0.0010062037376865746,0.04645263693069801,0.0016073700932830596,0.01906380145190123,0.007148549499719085,0.022644510663900188,0.008637815918653785,0.030893710400249307,0.0009346967597049203,0.04167724749418717,0.0014928726842438494,0.01775859784599294,0.007626491349090501,0.021070881556270623,0.008556212929207715,0.22448433242868562,0.02519140781539872,0.24523699876025973,0.021963016963380412,0.12874757245220753,0.020144871274463814,-0.12874757245220753,0.020144871274463814,0.18,0.0,0.18,0.0,1406.0170189702612,157.64879546904336,,,0.12874757245220753,0.13031405622956085
2000,base2,0.6,sin2,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.029770361728602875,0.0008597714406184154,0.03853949776834974,0.0012133900968130085,0.016416603741267966,0.006438052890594927,0.019580058560911783,0.007718582627224708,0.026757429530168866,0.000831429181615371,0.03481798752709475,0.0011652138673695846,0.015436047639086766,0.006458057174629928,0.018246853988101573,0.007134576668189604,0.1495848474158016,0.021557098398277123,0.1567566463910161,0.021352437184043723,0.12813994179616145,0.021643351846541307,-0.12813994179616145,0.021643351846541307,0.18,0.0,0.18,0.0,2002.4046114617997,806.036915261359,,,0.12813994179616145,0.12995491280700716
2000,base2,0.9,constant,full,,exchangeable_varying_sigma,fixed,30,30,0,0.034544101250248455,0.0010068203107559874,0.0454376480057459,0.0014330271647791891,0.020602333884631344,0.00796292723566502,0.02453053860103447,0.009591931987205558,0.024732049978774484,0.0007635746893568835,0.0325852223875413,0.0011117357542002946,0.019910036121413687,0.007831265053664146,0.023527760210993804,0.00867709532677263,0.18919073894187186,0.029101157421148802,0.21025188226533814,0.024898810817371827,0.19928337714439565,0.01509434465477955,,,0.2,0.0,0.2,0.0,7093.879537589968,1518.0936327278107,0.5385265200182019,0.05792033577540385,,
2000,base2,0.9,mixed,anchor_grid,500,exchangeable_varying_sigma,fixed,30,30,0,0.035577772360266664,0.0011071087196539015,0.04848075706437207,0.0018179733975875957,0.020494283979726857,0.007993957965636593,0.024428962440706425,0.009668128325216838,0.024648850191182303,0.0008165993644789913,0.03388155997306134,0.001449373789488453,0.019484413198652795,0.008009102962413419,0.023111981357526887,0.008784454495374638,0.23912976786093829,0.026533631523389962,0.2852544713571204,0.025614749191278322,0.2066070096644456,0.013550591899059314,-0.2066070096644456,0.013550591899059314,0.18,0.0,0.18,0.0,1752.5297035014917,292.10532324898173,,,0.2066070096644456,0.20705089949888933
