n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,bandwidth_input,bandwidth_method,best_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_abs_error,rho_abs_error,Sigma_fro_error
500,sqrt,3,126,1,,11.5961790420115,0.13,fixed,0.13,1.0,0.3,0.06694204916548159,0.08788710143473454,0.02909342606122589,0.029093447200527048,0.060481606788402885,0.07970925968026622,0.027826920076237105,0.027964596496735755,0.07887138790117276,0.04693501869782046,0.1462571981672836
500,sqrt,5,128,1,,11.420374999986961,0.13,fixed,0.13,1.0,0.3,0.07087992942687489,0.09235506133669114,0.01908357311460218,0.020009448760935956,0.06736661300169537,0.08952943027375183,0.018975136675788207,0.019488446518233542,0.14121652678776386,0.0074609116956543264,0.2112857843731404
500,sqrt,4,127,1,,11.475397625006735,0.13,fixed,0.13,1.0,0.3,0.0651366116197212,0.08433832953501891,0.013219266501311777,0.013380012187774069,0.06285935208847371,0.08152970860601348,0.01205086373388431,0.012072496780154119,0.15483812267222585,0.0366130677868744,0.2448056089561349
500,sqrt,6,129,1,,11.665708916960284,0.13,fixed,0.13,1.0,0.3,0.06439956570154448,0.08700592701319895,0.009872582238452887,0.010362715024209868,0.06350139830816362,0.08624540060876884,0.010737194119452065,0.011606633159620933,0.13728941678148499,0.04668477241250857,0.2257630871669229
500,sqrt,7,130,1,,11.732316917041317,0.13,fixed,0.13,1.0,0.3,0.07570891812425215,0.09979683112932707,0.03100607445316883,0.03128588431970012,0.07231387475687875,0.09721385005001806,0.03330721198870834,0.03367397799214607,0.15176939076004858,0.07149564138032274,0.2619435353238581
500,sqrt,8,131,1,,11.672860541963018,0.13,fixed,0.13,1.0,0.3,0.07263516020621387,0.10025834956715897,0.04969948855369588,0.05092244655765513,0.06891303094179838,0.09685129497731136,0.04904400635998196,0.05080335084466217,0.09895460054799121,0.02265858572769841,0.15685855408987825
500,sqrt,9,132,1,,11.759361042059027,0.13,fixed,0.13,1.0,0.3,0.072889228706385,0.09407284116174866,0.029162814901217082,0.03226586715146981,0.06985421651718064,0.0900177714037761,0.030356662457823536,0.03338306157280466,0.1610167089752722,0.006739501900942246,0.24015824440328765
500,sqrt,10,133,1,,10.373911208007485,0.13,fixed,0.13,1.0,0.3,0.06531094333266574,0.08359379503679794,0.040050459093071256,0.04024735692174916,0.062151794311899995,0.07946423864128598,0.037570344367446884,0.037702478969704606,0.159567917111762,0.027147757292003916,0.24681354119553783
500,sqrt,11,134,1,,10.232235417002812,0.13,fixed,0.13,1.0,0.3,0.06878037383979774,0.08743337563926071,0.011214622775186589,0.012719996190757253,0.06679524845141047,0.08526689931306751,0.013352404024668418,0.01493425629103233,0.18798144661955785,0.02727374208926503,0.28811715426055423
500,sqrt,12,135,1,,10.268281541997567,0.13,fixed,0.13,1.0,0.3,0.0660117708189039,0.08613399345337175,0.01460360518658832,0.016057110772043377,0.06594401849450565,0.08583334450684878,0.013548321772485439,0.015458500153669933,0.13038634025517393,0.005578583377929602,0.19065501142172597
500,sqrt,13,136,1,,10.346942042000592,0.13,fixed,0.13,1.0,0.3,0.06771755875412268,0.08806469896997757,0.008418228274508666,0.011434215728988562,0.061706593142613966,0.0804108521004997,0.008362961144058545,0.01041392077947786,0.25319916603541537,0.03486747396636142,0.38604034661062503
500,sqrt,14,137,1,,10.379328417009674,0.13,fixed,0.13,1.0,0.3,0.06573579062799027,0.08583392843995369,0.033860535464176555,0.035577848513065925,0.0636290323645656,0.0834176946793652,0.03229344462204753,0.033830151685173275,0.16714033953375085,0.007259363894761339,0.244460043909084
500,sqrt,15,138,1,,10.314823166001588,0.13,fixed,0.13,1.0,0.3,0.06179912061925224,0.08517308121128107,0.0410242478911822,0.043891925377788944,0.058352954512779,0.08166285781479586,0.03626609740714759,0.040479113416485,0.07721499932288822,0.04023352797625873,0.13854391754637116
