image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,11,5,2,0.25,33.25,-0.6734044279980662,-0.6544594905906622,0.018944937407403994,0.2592087280355782,-1.1984815134641449,-0.16573881010832295,0.95,percentile,500,273,True
roi,1,12,6,2,0.25,33.25,0.43957929539103074,0.4506494558013895,0.011070160410358743,0.1664892208614297,0.12520947851870443,0.7822148414096989,0.95,percentile,500,273,True
roi,1,1,1,1,0.26,33.86,-0.15439783271428123,-0.07993978700929671,0.07445804570498452,0.2780383051807599,-0.5935613255213175,0.46331269644087997,0.95,percentile,500,273,True
roi,1,2,2,1,0.26,33.86,0.3257870010367929,0.26868989830428247,-0.05709710273251045,0.2977427319874223,-0.29220157570700245,0.840296800928215,0.95,percentile,500,273,True
roi,1,3,3,1,0.26,33.86,-0.047211214243526416,-0.006240126188022431,0.040971088055503986,0.23343544496524732,-0.42228556656605676,0.45301329786570615,0.95,percentile,500,273,True
roi,1,4,4,1,0.26,33.86,0.06506391365640737,0.09503019680451981,0.029966283148112435,0.22756937844819214,-0.3237014144399369,0.5479999930176773,0.95,percentile,500,273,True
roi,1,5,5,1,0.26,33.86,-0.07039745408547789,-0.09991978702740875,-0.029522332941930865,0.20803321776437808,-0.5831084638764142,0.2547300465927968,0.95,percentile,500,273,True
roi,1,6,6,1,0.26,33.86,0.3326221218872353,0.3844071877457112,0.05178506585847592,0.18345482655665468,-0.0014456780996948333,0.7540650485465741,0.95,percentile,500,273,True
roi,1,7,1,2,0.26,33.86,0.09428136122790916,0.14841464457926662,0.05413328335135746,0.20267730057440142,-0.24559647370464888,0.5374712333307601,0.95,percentile,500,273,True
roi,1,8,2,2,0.26,33.86,-0.12663024053222346,-0.14258170509937074,-0.015951464567147272,0.25112224146505524,-0.6539986581132661,0.3386802299783374,0.95,percentile,500,273,True
roi,1,9,3,2,0.26,33.86,0.6679758420403866,0.662993763156609,-0.004982078883777663,0.3071301586602303,0.07108328668754668,1.281421130988924,0.95,percentile,500,273,True
roi,1,10,4,2,0.26,33.86,-1.0435855524532713,-1.0366565290996363,0.006929023353634989,0.31816011255906684,-1.643098100079026,-0.4536971692991544,0.95,percentile,500,273,True
roi,1,11,5,2,0.26,33.86,-0.6870549438305427,-0.6680849561646569,0.018969987665885757,0.25867316179760547,-1.202277879343668,-0.17070172854276683,0.95,percentile,500,273,True
roi,1,12,6,2,0.26,33.86,0.4418445284529251,0.4542753869477998,0.012430858494874686,0.16637966152189534,0.12302261339889105,0.7838229354969397,0.95,percentile,500,273,True
roi,1,1,1,1,0.27,34.47,-0.14607219104655936,-0.07174298401603345,0.07432920703052591,0.27183824763732395,-0.5765683132489328,0.46782854797345813,0.95,percentile,500,273,True
roi,1,2,2,1,0.27,34.47,0.31073025963457424,0.252822068109588,-0.05790819152498622,0.2950685083242177,-0.3008948820064211,0.8199924916577448,0.95,percentile,500,273,True
roi,1,3,3,1,0.27,34.47,-0.03988761856183723,0.002092273148142878,0.04197989170998011,0.2326485907119236,-0.40905665389280127,0.45745430105146523,0.95,percentile,500,273,True
roi,1,4,4,1,0.27,34.47,0.07070098658119706,0.10161150690954102,0.03091052032834396,0.2264742996157035,-0.3100929256831802,0.5620671728284642,0.95,percentile,500,273,True
roi,1,5,5,1,0.27,34.47,-0.08196757815306163,-0.11222086433423173,-0.030253286181170097,0.2086900601367823,-0.5948483977051922,0.244654247914632,0.95,percentile,500,273,True
