image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,1,1,1,0.05,21.05,-0.4701541291846231,-0.4224715556497705,0.04768257353485261,0.41406748302086976,-1.2091808652714433,0.3802221973544935,0.95,percentile,500,269,True
roi,1,2,2,1,0.05,21.05,0.7221331154021888,0.7005956975194332,-0.02153741788275565,0.3709688675883059,-0.06725299817734066,1.4107651083286132,0.95,percentile,500,269,True
roi,1,3,3,1,0.05,21.05,-0.32019914798555216,-0.32188803745127625,-0.0016888894657240971,0.3043506644880273,-0.8647659671637127,0.24886289626895627,0.95,percentile,500,269,True
roi,1,4,4,1,0.05,21.05,-0.1825620537796899,-0.17332125312442567,0.009240800655264225,0.29553528244359606,-0.7500199233834984,0.4368600885111857,0.95,percentile,500,269,True
roi,1,5,5,1,0.05,21.05,0.26645991229453114,0.2297505127064544,-0.03670939958807673,0.2241513074043944,-0.23434602107624908,0.6325918981958526,0.95,percentile,500,269,True
roi,1,6,6,1,0.05,21.05,0.09880204282751846,0.16027077496038566,0.0614687321328672,0.1909204601857275,-0.22037702236331277,0.5437946295050793,0.95,percentile,500,269,True
roi,1,7,1,2,0.05,21.05,-0.08577555316831632,-0.01721612044620913,0.0685594327221072,0.2913476249547369,-0.6050683083524433,0.539544835289052,0.95,percentile,500,269,True
roi,1,8,2,2,0.05,21.05,0.14500975883184264,0.08825100766265695,-0.05675875116918569,0.30194552270120206,-0.48783551511974316,0.6305918894107935,0.95,percentile,500,269,True
roi,1,9,3,2,0.05,21.05,0.6289121081262237,0.6502704965691196,0.021358388442895948,0.3178796976364618,0.09142792508914452,1.3473497643529007,0.95,percentile,500,269,True
roi,1,10,4,2,0.05,21.05,-0.8982816289595238,-0.9328243317828067,-0.03454270282328287,0.3422869672395809,-1.6967255973720328,-0.3201551591456365,0.95,percentile,500,269,True
roi,1,11,5,2,0.05,21.05,-0.3795697665868235,-0.40882256022157915,-0.029252793634755636,0.2809694283837706,-0.987017636574253,0.10863552548584078,0.95,percentile,500,269,True
roi,1,12,6,2,0.05,21.05,0.3577289573167643,0.39065988305469884,0.03293092573793455,0.2031045788962224,0.020116092840204033,0.7777517920714735,0.95,percentile,500,269,True
roi,1,1,1,1,0.06,21.66,-0.45411092140956383,-0.4077687173347945,0.046342204074769355,0.40466557957995697,-1.175043279740064,0.37806828626847255,0.95,percentile,500,270,True
roi,1,2,2,1,0.06,21.66,0.6989571140524741,0.6788048622566729,-0.020152251795801157,0.36125111355045386,-0.06378972906735383,1.374716161894515,0.95,percentile,500,270,True
roi,1,3,3,1,0.06,21.66,-0.3062962714727137,-0.3086697905239498,-0.002373519051236117,0.2963438387308392,-0.8331953775421735,0.24958490221281962,0.95,percentile,500,270,True
roi,1,4,4,1,0.06,21.66,-0.16975067474647745,-0.1607113515646987,0.009039323181778747,0.28846675789931203,-0.7232137415380813,0.43489088697988276,0.95,percentile,500,270,True
roi,1,5,5,1,0.06,21.66,0.24691088986220427,0.2098799565914309,-0.037030933270773364,0.21839772562674023,-0.24547967438148727,0.6033565216244013,0.95,percentile,500,270,True
