image_type,t,age,sigma2_hat_std,sigma2_bootstrap_mean_std,sigma2_bootstrap_se_std,sigma2_ci_lower_pointwise_std,sigma2_ci_upper_pointwise_std,sigma_hat_std,sigma_bootstrap_mean_std,sigma_bootstrap_se_std,sigma_ci_lower_pointwise_std,sigma_ci_upper_pointwise_std,sigma_hat_iop,sigma_bootstrap_mean_iop,sigma_bootstrap_se_iop,sigma_ci_lower_pointwise_iop,sigma_ci_upper_pointwise_iop,local_support_pairs,variance_support_pairs,min_variance_support_pairs,support_ok,confidence_level,ci_method,n_success
roi,0.5,48.5,0.7878844535161017,0.7532815757665103,0.08278240662690976,0.599196834888546,0.9291988923813482,0.8876285560503908,0.8666066704943244,0.0477390034054325,0.7740752328597557,0.9639486164145114,3.7093390151550514,3.621489993473943,0.1994980295184845,3.2348074454568567,4.028275326541083,273,177,30,True,0.95,percentile,500
roi,0.51,49.11,0.7845195635383562,0.7499802303295936,0.08405606316836596,0.5959949941125583,0.9275889614878858,0.8857310898564847,0.8646534728297373,0.048572841123993946,0.7720070079895641,0.9631118600396199,3.7014096337319127,3.613327714047287,0.2029825803034778,3.22616447520672,4.024778578890945,273,174,30,True,0.95,percentile,500
roi,0.52,49.72,0.7817750210587895,0.7472927546874496,0.08530909433299264,0.5877423007601513,0.9277127211461805,0.884180423363235,0.8630521509147867,0.0493823523361694,0.7666426472640028,0.9631764545567991,3.6949295045340658,3.60663589930737,0.20636547228240304,3.2037471786978857,4.025048514959479,273,166,30,True,0.95,percentile,500
roi,0.53,50.33,0.7788329001968256,0.7444887452385437,0.08649257663965539,0.5808428050842785,0.9253052634277219,0.8825150991324883,0.8613811441365221,0.05016275878916177,0.7621301089021679,0.9619263353140921,3.6879702284946845,3.5996528762906417,0.20962673746369023,3.184889589575902,4.019824352161919,273,161,30,True,0.95,percentile,500
roi,0.54,50.940000000000005,0.778521601258622,0.7438644089935493,0.08754573522537465,0.5804312544406335,0.9242866346535683,0.8823387111867086,0.8609819450107181,0.05079034038539837,0.7618603890413559,0.9613977157408607,3.6872331153355553,3.597984650452179,0.21224935802298367,3.1837624487284693,4.017615287127006,273,157,30,True,0.95,percentile,500
roi,0.55,51.550000000000004,0.7800564249148427,0.7448114842890334,0.08857970253320209,0.5802080221576141,0.9257902336658492,0.8832080303727106,0.8614985839487244,0.051351222375479226,0.761713188481575,0.9621796861407491,3.690865940745779,3.600143649232054,0.21459324549091527,3.1831473076587886,4.020883087935386,273,153,30,True,0.95,percentile,500
roi,0.56,52.160000000000004,0.7816150144056833,0.7455791303534856,0.08937855775022015,0.5787582755237551,0.9263585918231648,0.8840899356998039,0.8619182847622876,0.051781883635745735,0.7607615744809935,0.9624752385863778,3.694551362778635,3.60189755022119,0.2163929494370462,3.1791705778480313,4.022118181387621,273,150,30,True,0.95,percentile,500
roi,0.5700000000000001,52.77,0.7821073698366181,0.7453560308576815,0.09006945535064388,0.5785450242595971,0.9261621797010399,0.8843683451122717,0.8617646428767965,0.0521840732418347,0.7606211668004431,0.962373199250393,3.6957148166680054,3.6012554912920027,0.21807367228804805,3.1785838237559703,4.021691765982811,273,144,30,True,0.95,percentile,500
roi,0.58,53.379999999999995,0.781144636235834,0.7437852054450731,0.09062390484312155,0.5808210044157922,0.9242717878029779,0.8838238717277521,0.8608303927312361,0.05255248731606858,0.7621159323946315,0.9613905490273184,3.6934394996402404,3.5973513238435584,0.21961324950193206,3.184830346920689,4.01758533792137,273,138,30,True,0.95,percentile,500
roi,0.59,53.989999999999995,0.7802859138463044,0.7423984111235373,0.09103715028687252,0.5771590567645173,0.9235315382158932,0.8833379386431358,0.8600073318876225,0.05283354037963203,0.7597098176095812,0.9610054518070598,3.6914088185211673,3.593911808881751,0.2207877510283854,3.174775357830611,4.015976042981504,273,136,30,True,0.95,percentile,500
